Cobalt,,Legendary
Tantalum,,Legendary
TYPE,Mercer,
Sand,,Commonplace
Paper,,Commonplace
Slag,,Commonplace
Liquid Concrete,,Commonplace
Softwood,,Unusual
Pure Water,,Unusual
Dye Base,,Unusual
Hydrocarbons,,Unusual
Dark Matter,,Soughtafter
Hardwood,,Soughtafter
Magnacauterium,,Soughtafter
Fungal Foam,,Soughtafter
Crystalline Organisms,,Coveted
Frost Birch,,Coveted
Raw Amber,,Coveted
Antimatter,,Coveted
Black Amber,,Legendary
Negative Matter,,Legendary
Maliphitus Nariphon,,Legendary
Tempereal Gland,,Legendary
TYPE,Smelter,
Ferrous Alloys,Simple iron base metals.,Commonplace
Hydrogen Peroxide,Corrosion and abrasion. Solvent. Explosives.,Commonplace
Ammonia,Textiles. Antimicrobials. Nitrogenous base.,Commonplace
Inox,Structural support.,Commonplace
Intermetallics,Base for electronic circuits.,Unusual
NiMH,Hydrogen storage.,Unusual
Semiconductors,Electronics.,Unusual
Manganosite,Fertilisers.,Unusual
Neodymium,High strength natural magnets.,Soughtafter
Damascan Steel,Military and civilian blades.,Soughtafter
Memorite,Memory retention for deformable structures.,Soughtafter
Staballoy,Base metal for artillery.,Soughtafter
Ultradarks,Perfect light absorption.,Coveted
Superconductors,Low temperature superconduting.,Coveted
Warpalloy,Rare amber alloy used to make warp coils.,Coveted
Ambroids,Extremely strong and light material. Brittle.,Coveted
Impermite,Antientropic alloy. Ship construction.,Legendary
Lustre,Very expensive alloy of gold and silver and amber.,Legendary
Transreal Alloys,Not fully understood.,Legendary
Protonite,Alloy with proton retaining properties.,Legendary
TYPE,Mason,
Chalk,,Commonplace
Silicates,,Commonplace
Gypsum,,Commonplace
Limestone,,Commonplace
Salts,,Unusual
Lignite,,Unusual
Sulphur,DNA synthesis. Acids. Anti bacterials.,Unusual
Diatomite,,Unusual
Granite,,Soughtafter
Universal Catalysts,Industrial applications. Material and chemical production.,Soughtafter
Unstable Compounds,Explosives. Material production.,Soughtafter
Precious Gems,Jewellery.,Soughtafter
Lapis Lazuli,Dye. Jewellery.,Coveted
Apsum,,Coveted
Marble,,Coveted
Ambronite,Amber infused metals. Jewellery.,Coveted
Bifrostite,,Legendary
Indigo,,Legendary
Helenite,,Legendary
Diamond,Jewellery. Some minor industrial applications.,Legendary
TYPE,Crofter,
Algae,Cheap protein source.,Commonplace
Cereals,Cheap carbohydrate source.,Commonplace
Legumes,Cheap fibre and vitamin source.,Commonplace
Syrup,Cheap sugar source.,Commonplace
Chocolate,Luxury cooking and foodstuff.,Unusual
Soybeans,High protein source and base for complex meals.,Unusual
Micoprotein,Used for meat simulation. Does not go off.,Unusual
Fruit,Expensive foodstuff. Base for puddings.,Unusual
Auroch Meat,Most widely available meat.,Soughtafter
Sweetvine,Fruit used for making alcoholic beverages.,Soughtafter
Coffee,Reasonable rare drink.,Soughtafter
Nutmeg,All purpose cooking spice.,Soughtafter
Saffron,Very rare cooking ingredient.,Coveted
Oliolis,Fragrant oil for cooking.,Coveted
Lychnusberry,Rare and refreshing berry with healing properties.,Coveted
Nattslangen,Very dark root used in fermentation.,Coveted
Worldspice,Universally rare spice used in restaurants.,Legendary
Summer Dust,Lentil like bean used in stews and curries.,Legendary
Pearls of Uriel,Very rare caviar from fish on Uriel III.,Legendary
Melculum Sac,Fruit sack filled with fruit juice.,Legendary
